customer_id,tenure,monthly_charges,total_charges,gender,senior_citizen,partner,dependents,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,churn
1,52,119.40816546455756,5752.9463359246365,Male,0,No,No,No,No,DSL,No internet service,Yes,Yes,Yes,No internet service,No internet service,Month-to-month,No,Credit card,0
2,15,21.107855259430966,5800.454556071712,Male,0,No,No,Yes,No,Fiber optic,Yes,No,No internet service,No,Yes,Yes,One year,No,Mailed check,1
3,61,93.01734533106766,2330.9371698360333,Male,0,No,No,Yes,No phone service,Fiber optic,No,No internet service,No,No internet service,Yes,Yes,Month-to-month,No,Mailed check,1
4,21,77.17893159359805,6698.921040781756,Male,0,No,Yes,No,No,Fiber optic,No,Yes,No,Yes,Yes,No internet service,Month-to-month,Yes,Credit card,1
5,24,63.40521760809567,2603.0750548376072,Male,1,Yes,No,No,No,DSL,No internet service,Yes,No,No,No,Yes,Two year,No,Electronic check,0
6,3,32.75701745713709,5828.235679493684,Male,0,Yes,Yes,No,No,No,No internet service,No,No internet service,Yes,No internet service,Yes,One year,Yes,Credit card,1
7,22,60.908514863487625,1055.8981633453247,Female,0,No,Yes,Yes,No,No,No internet service,Yes,No internet service,No internet service,No internet service,No,Month-to-month,No,Bank transfer,0
8,53,55.43771829861353,1432.7429781495907,Female,0,Yes,Yes,Yes,Yes,DSL,Yes,No internet service,No internet service,Yes,Yes,No,One year,No,Mailed check,0
9,2,50.28298889787422,2594.785591615184,Female,0,No,No,Yes,No phone service,No,Yes,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer,1
10,30,93.08796233222077,4791.602764576106,Male,0,Yes,Yes,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,One year,Yes,Mailed check,1
11,38,90.07255212842638,5199.540735281725,Male,0,Yes,Yes,No,No phone service,Fiber optic,No internet service,No,Yes,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,0
12,2,78.90200909809116,3231.2137585430514,Male,0,Yes,No,No,No phone service,No,No,No,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer,1
13,64,113.86648132933722,714.9293095730609,Female,0,Yes,No,No,No phone service,No,Yes,No internet service,No,Yes,No internet service,No,One year,No,Mailed check,1
14,60,54.985438418085444,3051.7137515325217,Female,0,No,Yes,Yes,No phone service,No,No,No internet service,No,No internet service,Yes,Yes,Month-to-month,No,Credit card,1
15,21,44.38019377101796,5541.263376077297,Female,1,Yes,No,Yes,Yes,Fiber optic,No,No internet service,No internet service,No internet service,Yes,No internet service,Month-to-month,Yes,Credit card,1
16,33,85.59033130983995,5400.864142929496,Female,0,No,Yes,No,No phone service,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,One year,No,Mailed check,0
17,58,39.881406093740296,1365.5516643229978,Female,0,No,No,No,No,DSL,No,No internet service,No,No internet service,Yes,Yes,Two year,No,Mailed check,0
18,22,51.50105071834246,161.49336512484052,Female,0,Yes,Yes,No,No,DSL,No internet service,No internet service,No internet service,No,Yes,Yes,Two year,Yes,Credit card,0
19,49,42.460244007488484,6048.554776639323,Male,0,No,Yes,Yes,No phone service,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,1
20,59,26.91535677185012,940.3085144434253,Female,0,No,No,No,No,Fiber optic,No,No,Yes,No internet service,Yes,No internet service,One year,No,Mailed check,0
21,42,102.74987416356734,750.5582373178554,Male,0,No,No,Yes,No,DSL,Yes,No,No internet service,No internet service,No,No,Two year,No,Credit card,0
22,60,45.45405429216612,121.33961298989139,Female,0,No,No,No,No phone service,DSL,Yes,No internet service,Yes,Yes,Yes,No internet service,One year,No,Electronic check,1
23,15,67.30275033430206,3517.550475059725,Female,0,Yes,Yes,No,No phone service,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,No,Electronic check,1
24,62,24.331527325431196,4075.7848171164337,Male,0,Yes,Yes,Yes,No phone service,No,No,No internet service,Yes,Yes,Yes,No internet service,Month-to-month,No,Bank transfer,1
25,62,89.93394662526431,5137.545964573866,Male,0,Yes,No,Yes,Yes,Fiber optic,No internet service,No,No,Yes,No internet service,Yes,One year,No,Electronic check,0
